1078739,"Bourke Street between Swanston Street and Elizabeth Street approximately 7m South of Myer Melbourne, Gnd - Levels 2,5 & 7, Part Levels 4 & 6, 314-336 Bourke Street, Melbourne, 3000",-37.81390558197660,144.96406378187100
1078741,"Bourke Street between Swanston Street and Elizabeth Street approximately 14m SW of Pandora, 280-282 Bourke Street, Melbourne, 3000",-37.81362090423120,144.9651014439630
1078742,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m South of David Jones, 294-312 Bourke Street, Melbourne, 3000",-37.81376072735140,144.96461426212900
1078743,"Bourke Street between Swanston Street and Elizabeth Street approximately 6m North of Cotton On, Shop 1-2 & 6, Ground & Part Level 1, 341-357 Bourke Street, Melbourne, 3000",-37.81420846080580,144.96355791621400
1078744,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of Foot Locker, Gnd & Flr1, 327-329 Bourke Street, Melbourne, 3000",-37.81403537747070,144.9640965662260
1078745,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m NW of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81384925227320,144.96473587556400
1078746,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of Sportsgirl, Shop 23, 283 Bourke Street, Melbourne, 3000",-37.81372458656880,144.96521889299100
1078747,"Bourke Street between Swanston Street and Elizabeth Street approximately 22m North of Australia And New Zealand Banking Group Limited, 335 Bourke Street, Melbourne, 3000",-37.81397710174460,144.963853371442
1078749,"Bourke Street between Swanston Street and Elizabeth Street approximately 14m South of Pandora, 280-282 Bourke Street, Melbourne, 3000",-37.81363118331490,144.96512263094400
1078750,"Bourke Street between Swanston Street and Elizabeth Street approximately 7m South of David Jones, 294-312 Bourke Street, Melbourne, 3000",-37.81373493577890,144.96464450492900
1078751,"Bourke Street between Swanston Street and Elizabeth Street approximately 8m North of Australia And New Zealand Banking Group Limited, Shop 4-7, 309-325 Bourke Street, Melbourne, 3000",-37.814033923768700,144.9641688522080
1078752,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m NW of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81387336384710,144.96470749639300
1078753,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m North of Sportsgirl, Shop 23, 283 Bourke Street, Melbourne, 3000",-37.813719979532200,144.9651765353500
1078754,"Evan Walker Bridge between Southbank Promenade and Flinders Walk approximately 7m West of Ponyfish Island, Kiosk, Evan Walker Bridge, Southbank, 3006",-37.81986572195860,144.9648998391500
1078755,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m NW of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81385470305780,144.96471755080200
1078756,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m North of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81384045304820,144.96480552323400
1078757,"Bourke Street between Swanston Street and Elizabeth Street approximately 9m North of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81384854428380,144.96480961760400
1078758,"Bourke Street between Swanston Street and Elizabeth Street approximately 11m North of David Jones, 299 Bourke Street, Melbourne, 3000",-37.8138361498709,144.96482767867000
1078759,"Bourke Street between Swanston Street and Elizabeth Street approximately 10m NE of David Jones, 299 Bourke Street, Melbourne, 3000",-37.81384654772820,144.96482966500200
